,url,제목,작성일자,평수,가족형태,공간,스타일,세부공사,작업,지역,분야,예산,스크랩,좋아요,댓글,조회
0,https://ohou.se/projects/119997/detail?affect_type=ProjectSelfIndex&affect_id=0,앱도 집도 사용성이 우선! UI/UX 디자이너의 집,2주 전,30평,신혼부부,아파트,내추럴,0,반셀프,0,리모델링,0,"1,314",408,39,"26,703"
1,https://ohou.se/projects/123100/detail?affect_type=ProjectSelfIndex&affect_id=1,탐나는 포인트가 가득! 매력이 넘치는 숲속의 집,2주 전,31평,신혼부부,아파트,모던,0,전문가,경기도 고양시,리모델링,0,"1,224",356,92,"30,364"
2,https://ohou.se/projects/122245/detail?affect_type=ProjectSelfIndex&affect_id=2,원룸러 주목! 가구 배치로 고통받는 이들을 위한 바이블,3주 전,7평,싱글라이프,원룸&오피스텔,모던,0,셀프•DIY,서울특별시,홈스타일링,0,"1,248",230,42,"27,371"
3,https://ohou.se/projects/121087/detail?affect_type=ProjectSelfIndex&affect_id=3,"점점 내 취향에 가까운 공간으로, 포근포근 빈티지 원룸",3주 전,6평,싱글라이프,원룸&오피스텔,빈티지&레트로,0,셀프•DIY,0,홈스타일링,0,"1,240",210,36,"19,781"
4,https://ohou.se/projects/123059/detail?affect_type=ProjectSelfIndex&affect_id=4,구조와 스타일링이 다채롭게 바뀌는 1.5룸 라이프,2주 전,8평,싱글라이프,원룸&오피스텔,빈티지&레트로,0,셀프•DIY,경상남도 김해시,홈스타일링,0,"1,158",207,63,"23,425"
5,https://ohou.se/projects/120668/detail?affect_type=ProjectSelfIndex&affect_id=5,한정된 예산으로 고급 시공 완벽 구현한 28평 아파트,3주 전,28평,아기가 있는 집,아파트,모던,"주방리모델링, 조명시공, 폴딩도어",전문가,경기도,리모델링,"3,000만원",981,399,98,"49,831"
6,https://ohou.se/projects/122098/detail?affect_type=ProjectSelfIndex&affect_id=6,예쁜데 스마트하기까지! 자연을 머금은 디자이너의 원룸,09. 14,10평,싱글라이프,원룸&오피스텔,0,0,셀프•DIY,0,홈스타일링,0,"1,082",293,28,"23,491"
7,https://ohou.se/projects/123654/detail?affect_type=ProjectSelfIndex&affect_id=7,"전형적인 24평 구축, 싱글라이프를 위한 모던홈으로",2주 전,24평,싱글라이프,아파트,모던,0,반셀프,0,리모델링,"4,000만원",896,235,27,"20,977"
8,https://ohou.se/projects/124326/detail?affect_type=ProjectSelfIndex&affect_id=8,"물건으로 무성한 숲을 이루다, 디자이너의 8평 원룸",2주 전,8평,싱글라이프,원룸&오피스텔,내추럴,0,셀프•DIY,서울특별시,홈스타일링,0,878,271,43,"15,804"
9,https://ohou.se/projects/121295/detail?affect_type=ProjectSelfIndex&affect_id=9,따뜻하고 모던한 빈티지 우드로 천천히 채워가는 집,3주 전,34평,취학 자녀가 있는 집,아파트,내추럴,0,셀프•DIY,부산광역시 북구,홈스타일링,0,851,212,33,"29,646"
